Aluminium;200
Antimony;5
Silver;10
Arsenic;10
Beryllium;4
Cadmium;5
Cobalt;50
Chromium total;50
Chromium VI;5
iron;200
Mercury;1
Nickel;20
Lead;10
Copper;1000
Selenium;10
Manganese;50
Thallium;2
Zinc;3000
Boron;1000
Cyanide;50
Fluorine;1500
Nitrite;500
Sulphate (mg/l);250
Benzene;1
Ethylbenzene;50
Styrene;25
Toluene;15
para-Xylene;10
Benzo(a) anthracene;0.1
Benzo (a) pyrene;0.01
Benzo (b) fluoranthene;0.1
Benzo (k,) fluoranthene;0.05
Benzo (g, h, i) perylene;0.01
Chrysene;5
Dibenzo (a, h) anthracene;0.01
Indeno (1,2,3 – c, d) pyrene;0.1
Pyrene;50
Sommatoria (31, 32, 33, 36 );0.1
Chlorometane;1.5
Trichloromethane;0.15
Vynil cloride;0.5
1,2-Dichloroethane;3
1,1 Dichloroethylene;0.05
Trichloroethylene;1.5
Tetrachloroethylene;1.1
Esachlorobutadiene;0.15
Sommatoria organoalogenati;10
1,1 – Dichloroethane;810
1,2-Dichloroethylene;60
1,2-Dichloropropane;0.15
1,1,2 – Trichloroethane;0.2
1,2,3 – Trichloropropane;0.001
1,1,2,2, – Tetrachloroethane;0.05
Tribromomethane;0.3
1,2-Dibromoethane;0.001
Dibromochoromethane;0.13
Bromodichloromethane;0.17
Nitrobenzene;3.5
1,2 – Dinitrobenzene;15
1,3 – Dinitrobenzene;3.7
Chloronitrobenzeni (eachone);0.5
Monochlorobenzene;40
1,2 Dichlorobenzene;270
1,4 Dichlorobenzene;0.5
1,2,4 Trichlorobenzene;190
1,2,4,5 Tetrachlorobenzene;1.8
Pentachlorobenzene;5
Esachlorobenzene;0.01
2-chlorophenol;180
2,4 Dichlorophenol;110
2,4,6 Trichlorophenol;5
Pentachlorophenol;0.5
Aniline;10
Diphenilamine;910
p-toluidine;0.35
Alaclor;0.1
Aldrin;0.03
Atrazine;0.3
alfa – esachloroesane;0.1
beta – esachloroesane;0.1
Gamma – esachloroesane (lindano);0.1
Clordano;0.1
DDD, DDT, DDE;0.1
Dieldrin;0.03
Endrin;0.1
Sommatoria fitofarmaci;0.5
Sommatoria PCDD, PCDF (conversione TEF);4E-06
PCB;0.01
Acrilammide;0.1
Total fuels (as n-esano);350
Acido para – ftalico;37000
Acido perfluoropentanoico (PFPeA);3
Acido perfluoroesanoico (PFHxA);1
Acido perfluorobutansolfonico (PFBS);3
Acido perfluoroottanoico (PFOA);0.5
Acido perfluoroottansolfonico (PFOS);0.03
